2500	0.0152
5000	0.0218
7500	0.024
10000	0.0492
12500	0.11128
15000	0.204267
17500	0.334229
20000	0.4358
22500	0.524667
25000	0.58104
27500	0.6316
30000	0.676633
32500	0.710092
35000	0.735714
37500	0.767733
40000	0.78125
42500	0.797647
45000	0.8172
47500	0.826547
50000	0.83372
52500	0.848038
55000	0.853309
57500	0.866835
60000	0.8746
62500	0.875456
65000	0.881646
67500	0.887185
70000	0.892214
72500	0.892855
75000	0.899693
77500	0.9056
80000	0.90325
82500	0.90663
85000	0.909729
87500	0.913486
90000	0.917456
92500	0.916119
95000	0.916453
97500	0.9184
100000	0.91887
