3.14159e-05	0.006	-31829
0.00380133	0.011	-261.069
0.0138544	0.01	-70.187
0.0301907	0.011	-31.1387
0.0528102	0.01	-16.9626
0.0817128	0.012	-10.2787
0.116899	0.008	-6.61154
0.158368	0.015	-4.39044
0.20612	0.022	-2.94869
0.260155	0.01	-1.96412
0.320474	0.029	-1.26551
0.387076	0.022	-0.754961
0.459961	0.056	-0.373159
0.539129	0.089	-0.0824331
0.62458	0.246	0.14211
0.716315	0.333	0.317479
0.814332	0.407	0.455633
0.918633	0.477	0.56519
1.02922	0.572	0.652499
1.14608	0.642	0.722321
1.26923	0.672	0.778289
1.39867	0.686	0.82321
1.53439	0.764	0.85928
1.67639	0.81	0.888234
1.82467	0.832	0.911455
1.97923	0.839	0.930049
2.14008	0.851	0.94491
2.30722	0.892	0.956758
2.48063	0.902	0.966179
2.66033	0.922	0.973646
2.84631	0.932	0.979544
3.03858	0.957	0.984187
3.23713	0.95	0.987828
3.44196	0.961	0.99067
3.65308	0.976	0.992881
