1, 1.33361
2, 2.66445
3, 4.00728
4, 5.35014
5, 6.67342
6, 8.00644
7, 9.33956
8, 10.68414
9, 12.02023
10, 13.35795
11, 14.70071
12, 16.04838
13, 17.37655
14, 18.71286
15, 20.03041
16, 21.35368
17, 22.69171
18, 24.02528
19, 25.37548
20, 26.7447
21, 28.10611
22, 29.40558
23, 30.71224
24, 32.02459
25, 33.37376
26, 34.71123
27, 35.9989
28, 37.35829
29, 38.7031
30, 40.07867
31, 41.41225
32, 42.72544
33, 44.11156
34, 45.42463
35, 46.77502
36, 48.07352
37, 49.44897
38, 50.82297
39, 52.15984
40, 53.57345
41, 54.88471
42, 56.22511
43, 57.58687
44, 58.93996
45, 60.28826
46, 61.57775
47, 62.89535
48, 64.25064
49, 65.58364
50, 66.86414
51, 68.18124
52, 69.45273
53, 70.78776
54, 72.17284
55, 73.47943
56, 74.74948
57, 76.11852
58, 77.39589
59, 78.75981
60, 80.06929
61, 81.32359
62, 82.63469
63, 83.94437
64, 85.33284
65, 86.659
66, 88.03696
67, 89.38702
68, 90.65906
69, 91.99674
70, 93.31439
71, 94.60443
72, 95.99505
73, 97.31912
74, 98.704
75, 100.0122
76, 101.40275
77, 102.73554
78, 104.14412
79, 105.53966
80, 106.91206
81, 108.25546
82, 109.49605
83, 110.78058
84, 112.06461
85, 113.37732
86, 114.75689
87, 115.98974
88, 117.28871
89, 118.65459
90, 119.96676
91, 121.33469
92, 122.65939
93, 123.94508
94, 125.26453
95, 126.65917
96, 127.99324
97, 129.29546
98, 130.67415
99, 131.99625
100, 133.37877
